Checkpoint Analysis,Miles,Km,Miles to next,Km to next
Olympic Valley,0,0.0,10.3,16.6
Lyon Ridge,10.3,16.6,5.5,8.8
Red Star Ridge,15.8,25.4,8.6,13.9
Duncan Canyon,24.4,39.3,5.9,9.5
Robinson Flat,30.3,48.8,4.1,6.6
Miller's Defeat,34.4,55.4,3.6,5.8
Dusty Corners,38,61.2,5.3,8.5
Last Chance,43.3,69.7,4.5,7.2
Devil's Thumb,47.8,76.9,5.1,8.2
El Dorado Creek,52.9,85.1,2.8,4.5
Michigan Bluff,55.7,89.6,6.3,10.2
Foresthill *,62,99.8,8.7,14.0
Dardanelles (Cal-1) [Not in this data set],65.7,105.7,5,8.1
Peachstone (Cal-2) *,70.7,113.8,7.3,11.7
Ford's Bar (Cal-3) [Not in this data set],73,117.4,5,8.1
Rucky Chucky,78,125.5,1.8,2.9
Green Gate,79.8,128.4,5.4,8.7
Auburn Lake Trails,85.2,137.1,5.5,8.9
Quarry Rd,90.7,146.0,3.6,5.8
Pointed Rocks,94.3,151.8,4.6,7.4
Robie Point,98.9,159.2,1.3,2.1
Placer High School,100.2,161.3,NA,NA